date,portfolio_value,cash,positions_value,open_count,daily_realized_pnl
2026-04-15,10012.9,9114.12,898.78,1,0
2026-04-16,10071.98,9114.12,957.86,1,0
2026-04-17,10222.88,6673.4,3549.48,3,0
2026-04-18,10224.04,6673.4,3550.64,3,0
2026-04-20,10245.32,7559.28,2686.04,2,0
2026-04-21,10218.4,8760.4,1458.0,1,0
2026-04-22,10000.0,10000.0,0.0,0,260.4
2026-05-06,10207.42,3984.7,6222.72,2,0
2026-05-07,10223.7,3984.7,6239.0,2,0
2026-05-08,10222.36,8333.68,1888.68,1,0
2026-05-11,10349.28,8333.68,2015.6,1,0
2026-05-12,10000.0,10000.0,0.0,0,0.0
2026-05-13,10150.42,8751.79,1398.63,1,0
2026-05-14,10291.18,8751.79,1539.39,1,0
2026-05-15,10327.06,8751.79,1575.27,1,0
2026-05-18,10000.0,10000.0,0.0,0,0.0
2026-05-22,10227.74,6705.44,3522.3,1,0
2026-05-25,10232.46,6705.44,3527.02,1,0
2026-05-26,10000.0,10000.0,0.0,0,0.0
