ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,entry_price,stop_price,target_1,target_2,time_stop_days,source
CMG,SHORT,14.626030170507853,5.6324295316691595,9.0,6.9795,33.37,38.66,25.44,17.51,5,fresh
AMAT,LONG,6.558825882262191,1.59927232460846,10.0,4.9596,357.06,312.8,423.45,489.84,5,fresh
ALAB,SHORT,6.992357925916048,0.7271625564847226,10.0,4.4363,116.04,137.68,83.58,51.13,5,fresh
HOOD,SHORT,7.246750952988318,0.8906311564496839,9.0,4.1344,70.89,85.85,48.44,26.0,5,fresh
LEU,SHORT,6.184862576451916,0.20827988200945421,10.0,4.125,186.76,231.59,119.51,52.26,5,fresh
QQQ,SHORT,7.0485224862278,0.7632529405155771,9.0,4.058,582.06,619.41,526.03,470.0,5,fresh
IWM,SHORT,6.599941650971641,0.4750025825778753,9.0,3.885,242.22,268.75,202.42,162.62,5,fresh
U,SHORT,6.100772277731328,0.15424489700735008,9.0,3.6925,18.39,21.97,13.02,7.65,5,fresh
WFC,SHORT,6.078862576451916,0.14016609840577351,9.0,3.6841,77.6,89.33,60.0,42.4,5,fresh
RDDT,SHORT,5.9156394539994865,0.035281716878963185,9.0,3.6212,139.85,158.49,111.89,83.93,5,fresh
